"doc_id","text","cmp_code","party_id"
"1","Windenergieanlagen    ausnahmsweise  Standorten zuzulassen  denen  Beeinträchtigungen  Menschen Tiere   Landschaftsbild  erwarten ",501,41953
"2","Anerkannte Studien zeigen seit Jahren  verheerende Wirkung  Windkraftanlagen  geschützte Vögel  Fledermäuse",501,41953
"3","Gravierend    gesundheitlichen Schadwirkungen   Menschen  Schattenschlag  Lärmemission",501,41953
"4","Die flächendeckende Zerstörung unserer Landschaften   Folge  Windparks   zusätzlichen Stromtrassen",501,41953
"5","Lärm verursacht Stress  macht krank",501,41953
"6","Lärm    weite Teile  Bevölkerung  stärksten wahrgenommene Umweltproblem",501,41953
"7","Die bisherigen Anstrengungen  Lärmvorsorge  insbesondere  Lärmsanierung reichen  ",501,41953
"8","Die AfD setzt  deshalb   zielgerichtetes Investitionsprogramm   Lärmschutz ",501,41953
"9","Die AfD setzt    mitfühlende  würdevolle Behandlung  Tiere ",501,41953
"10","Dies bezieht    Haltung  Transport   Schlachtung",501,41953
"11","Tierschutzgesetze müssen gleichermaßen   gelten",501,41953
"12","Den Handel  Bewerbung   Einfuhr  Fleisch  tierquälerischer Schlachtung Schächten lehnt  AfD ab",501,41953
"13","Wir fordern  ersatzlose Streichung  § a Abs Nr TierSchG",501,41953
"14","Länder  Schweden Niederlande Schweiz Polen Norwegen Island Liechtenstein  Dänemark      Hinsicht Vorbild",501,41953
"15","Wir wenden    negativen Auswirkungen  weltweiten Preisdumpings zulasten  Umwelt Mensch  Tier",501,41953
"16","Wir setzen  für  Bewahrung  heimatlichen Landschaftsbildes unserer Umwelt  Tierwelt ",501,41953
"17","Alternativ   Flächen  Natur zurückgegeben ",501,41953
"18"," setzten  für deren intelligente Nutzung  verstärkte Wiederverwertung ",4162,41953
"19","Deutschland    umweltgerechten Beseitigung  Abfällen  Wiedergewinnung  Rohstoffen gut aufgestellt entsprechendes KnowHow  weltweit gefragt",4162,41953
"20","Dies gilt  für Kunststoffe   überwiegende Teil  Energieerzeugung wiedergewonnen   Stoffkreislauf  zugeführt ",4162,41953
"21","International  jedoch  Problem  Verschmutzung  Meere     Verringerung  Eintrages   Entwicklungsländern gelöst ",501,41953
"22","Intelligente Technik  stauvermeidende Verkehrsführung schützen  Umwelt",501,41953
"23","Bei Umwelt  Landschaftsschutz    starke regionale Verankerung",501,41953
"24","Reine Luft  sauberes Wasser",501,41953
"25","sowie naturnahe Lebensräume  lebenswichtige Allgemeingüter deren Schutz   Prioritäten  AfD zählt",501,41953
"26","Unsere Politik orientiert  dabei   Zielen  Nachhaltigkeit  Versorgungssicherheit  conservative Prinzipien",4162,41953
"27","Praxiskonformen Pflanzenschutz etablieren",501,41953
"28","Die AfD steht für  konsequente Umsetzung  Tierschutzgesetze  Sinne unserer Verantwortung für Tiere  fühlende Mitgeschöpfe",501,41953
"29","Wir    Nutztierhaltung artgerechte Haltungssysteme fördern    Tierart angepasst ",501,41953
"30"," verlangen  Kopplung  Tierhaltung   Fläche",501,41953
"31","Außerdem setzen   für  Netz regionaler Schlachtbetriebe  Deutschland   Tiertransporte  kurz  möglich  gestalten",501,41953
"32","Die Dauer  Betäubung  für  gesamten Schlachtvorgang gewährleistet   Ausnahmen hiervon  unzulässig",501,41953
"33","Darüber hinaus fordert  AfD  Einschränkung  Exporte  lebenden Schlachttieren  Länder  bekannten Verstößen   Tierschutz",501,41953
"34","Tierschutzgesetze müssen für  gleichermaßen gelten",501,41953
"35","Deshalb lehnen    Handel  Bewerbung   Einfuhr  Fleisch  tierquälerischer Schlachtung Schächtung ab",501,41953
"36","Es  unsere ethisch gebotene Pflicht  Wohl  Tiere  Lebendtransport  Schlachttieren  reduzieren",501,41953
"37","  Drittländer  nachweislich   Tierschutzrecht verstoßen  auszusetzen",501,41953
"38","Im Schlepptau  weltweiten Warenverkehrs dringen entlang  großen Fernhandelsstraßen  ausgehend  internationalen Häfen   großen Warenumschlagplätzen immer mehr gebietsfremde Arten  heimische Ökosysteme   stören  ökologische Gleichgewicht",501,41953
"39","Es zeigt  dass gebietsfremde Arten   negative Auswirkungen  unsere hiesige Natur    konkrete finanzielle  gesundheitliche Schäden verursachen",501,41953
"40","Wir müssen größere Anstrengungen unternehmen   Einschleppung invasiver Tier  Pflanzenarten  verhindern   Ausbreitung einzudämmen",501,41953
"41","Eine invasive Eigenschaft   Entnahmegrund  Tierschutzgesetz  verankern",501,41953
"42","Über  Kombination  aktivem Wildtiermanagement  artenschutzrechtlicher Ausnahmeverordnung sollen problematische Wildtierbestandsgrößen regional  zeitnah überwacht  korrigiert  ",501,41953
"43","Jedoch   bedingungslose Wiederansiedlung  Wolfs   Behörden  Berufung   Zielsetzung  EURichtlinien  Natur  Artenschutz betrieben",501,41953
"44","Etwa  Drittel  Gesamtfläche unseres Landes  bewaldet",501,41953
"45","Um  gesunden Wald  Wild  erhalten braucht  waldbauliche Maßnahmen  Einklang  Ökonomie Ökologie  Naherholung",501,41953
"46","Um  nachhaltige Bewirtschaftung",4162,41953
"47"," Sicherung  Wälder  erreichen",501,41953
"48","setzt   AfD für  Förderung  Baumaterials  Energieträgers Holz ",501,41953
"49","Der Wald   Windindustrieanlagen freigehalten    wildlebenden Arten  schützen",501,41953
"50"," unseren Kindern  intakte Natur  hinterlassen",501,41953
"51","  zugleich hohen Standards  Tier  Umweltschutz",501,41953
"52"," unsere Natur  erheblichem Maße",501,41953
"53","Windenergieanlagen     Standorten zuzulassen  denen  Beeinträchtigungen für Mensch Tier   Landschaftsbild  erwarten ",501,41953
"54","Wald  Schutzgebiete  generell  anzutasten",501,41953
"55","Studien zeigen seit Jahren  verheerende Wirkung  Windkraftanlagen  Vögel Fledermäuse  Insekten",501,41953
"56","Gravierend    gesundheitlichen Schadwirkungen  Schattenschlag Infraschall  Lärmemissionen",501,41953
"57","Die massive Subventionierung  Windindustrie zerstört   Kulturlandschaften  Wälder",501,41953
"58","Zudem verstärken   Aufheizung  Mikroklimas",501,41953
"59","Photovoltaikanlagen führen generell   Veränderung  Mikroklimas  verursachen  Temperaturerhöhung",501,41953
"60","   hohen europäischen Umwelt",501,41521
"61","Tierschutz",501,41521
"62","Wir   natürlichen Lebensgrundlagen  nachfolgende Generationen bewah­ren",501,41521
"63","Deutschland    Umweltpolitik international führend   Umweltschutz Wirtschaftswachstum  Beschäftigung  Einheit sehen",501,41521
"64","Unser Ziel   Produkte  Verfahren entwickelt    vornherein  Maximum  Um­weltverträglichkeit aufweisen",501,41521
"65","Global denken  Ort handeln  bedeutet  Erfolge  Kampf   ökolo­gische Gleichgewicht   Erde  erzielt     Land   zustehenden Beitrag   Mitteln nationaler Umweltpolitik erbringt",501,41521
"66","Wir halten  unserem Ziel fest  COEmissionen   Jahr   reduzieren",501,41521
"67","Wir   Anteil  erneuerbar Energien   Stromversorgung Solarener­gie Wasser  Windkraft   Jahr verdoppeln",501,41521
"68","Und    rasche Einführung    LiterAutos",501,41521
"69","Wenn     Kampf  Armut  Unterentwicklung engagieren leisten  zugleich  wichtigen Beitrag  Schutz  natürlichen Ressourcen",501,41521
"70","Denn Unterentwicklung  Umweltschädigung hängen eng miteinander zusammen",501,41521
"71","Viele Umweltprobleme  denen  heute konfrontiert    nationaler Ebene   lösen",501,41521
"72","Wir  daher  Harmonisierung  Umweltschutzstandards    Europa  weltweit ­antreiben",501,41521
